iter	Passed	Remaining
618	61279	17918
619	61371	17817
620	61478	17720
621	61575	17621
622	61690	17526
623	61784	17426
624	61976	17353
625	62138	17271
626	62248	17175
627	62342	17074
628	62453	16978
629	62550	16878
630	62663	16783
631	62754	16681
632	62864	16585
633	62953	16483
634	63063	16386
635	63160	16286
636	63272	16190
637	63386	16095
638	63492	15997
639	63584	15896
640	63689	15798
641	63781	15697
642	63890	15600
643	63982	15498
644	64089	15401
645	64180	15300
646	64326	15211
647	64430	15113
648	64565	15022
649	64679	14926
650	64823	14836
651	64939	14740
652	65096	14654
653	65197	14554
654	65305	14456
655	65398	14355
656	65503	14257
657	65599	14156
658	65704	14058
659	65796	13956
660	65903	13858
661	65997	13757
662	66104	13659
663	66195	13558
664	66304	13460
665	66394	13358
666	66515	13263
667	66636	13167
668	66751	13070
669	66852	12971
670	66960	12873
671	67051	12771
672	67167	12674
673	67260	12573
674	67369	12475
675	67456	12373
676	67561	12274
677	67654	12173
678	67762	12075
679	67857	11974
680	67961	11875
681	68057	11775
682	68160	11676
683	68245	11573
684	68349	11474
685	68449	11375
686	68552	11275
687	68641	11174
688	68805	11084
689	68998	10999
690	69207	10916
691	69312	10817
692	69456	10724
693	69573	10626
694	69692	10529
695	69787	10428
696	69897	10329
697	70002	10229
698	70109	10130
699	70203	10029
700	70311	9929
701	70408	9829
702	70532	9732
703	70635	9632
704	70756	9534
705	70863	9435
706	70970	9335
707	71104	9239
708	71292	9150
709	71400	9050
710	71523	8953
711	71623	8852
712	71736	8753
713	71845	8653
714	71958	8554
715	72051	8452
716	72200	8357
717	72333	8260
718	72452	8162
719	72549	8061
720	72664	7961
721	72760	7860
722	72867	7760
723	72960	7658
724	73071	7559
725	73179	7459
726	73286	7358
727	73374	7256
728	73509	7159
729	73607	7058
730	73722	6958
731	73813	6857
732	73920	6756
733	74010	6654
734	74114	6554
735	74202	6452
736	74303	6351
737	74389	6249
738	74493	6148
739	74579	6047
740	74682	5946
741	74770	5844
742	74873	5743
743	74962	5642
744	75067	5541
745	75157	5440
746	75268	5340
747	75360	5238
748	75464	5138
749	75551	5036
750	75650	4935
751	75775	4836
752	75887	4736
753	75979	4635
754	76083	4534
755	76174	4433
756	76275	4332
757	76364	4231
758	76464	4130
759	76553	4029
760	76655	3928
761	76741	3826
762	76845	3726
763	76939	3625
764	77047	3525
765	77134	3423
766	77244	3323
767	77334	3222
768	77433	3121
769	77521	3020
770	77619	2919
771	77709	2818
772	77813	2717
773	77901	2616
774	78031	2517
775	78132	2416
776	78242	2316
777	78330	2214
778	78436	2114
779	78527	2013
780	78627	1912
781	78715	1811
782	78816	1711
783	78906	1610
784	79008	1509
785	79106	1409
786	79219	1308
787	79310	1207
788	79411	1107
789	79499	1006
790	79598	905
791	79687	804
792	79793	704
793	79882	603
794	79995	503
795	80085	402
796	80186	301
797	80306	201
798	80426	100
799	80524	0
